"Time","zara","shein","temu"
"2004-01-01",8,0,0
"2004-02-01",8,0,0
"2004-03-01",7,0,0
"2004-04-01",9,0,0
"2004-05-01",8,0,0
"2004-06-01",7,0,0
"2004-07-01",6,0,0
"2004-08-01",10,0,0
"2004-09-01",12,0,0
"2004-10-01",10,0,0
"2004-11-01",9,0,0
"2004-12-01",9,0,0
"2005-01-01",8,0,0
"2005-02-01",9,0,0
"2005-03-01",10,0,0
"2005-04-01",10,0,0
"2005-05-01",9,0,0
"2005-06-01",8,0,0
"2005-07-01",7,0,0
"2005-08-01",12,0,0
"2005-09-01",15,0,0
"2005-10-01",11,0,0
"2005-11-01",10,0,0
"2005-12-01",11,0,0
"2006-01-01",9,0,0
"2006-02-01",10,0,0
"2006-03-01",11,0,0
"2006-04-01",10,0,0
"2006-05-01",9,0,0
"2006-06-01",8,0,0
"2006-07-01",8,0,0
"2006-08-01",12,0,0
"2006-09-01",13,0,0
"2006-10-01",9,0,0
"2006-11-01",10,0,0
"2006-12-01",10,0,0
"2007-01-01",9,0,0
"2007-02-01",9,0,0
"2007-03-01",12,0,0
"2007-04-01",10,0,0
"2007-05-01",9,0,0
"2007-06-01",8,0,0
"2007-07-01",6,0,0
"2007-08-01",11,0,0
"2007-09-01",18,0,0
"2007-10-01",15,0,0
"2007-11-01",13,0,0
"2007-12-01",12,0,0
"2008-01-01",10,0,0
"2008-02-01",11,0,0
"2008-03-01",12,0,0
"2008-04-01",11,0,0
"2008-05-01",10,0,0
"2008-06-01",9,0,0
"2008-07-01",8,0,0
"2008-08-01",10,0,0
"2008-09-01",14,0,0
"2008-10-01",13,0,0
"2008-11-01",10,0,0
"2008-12-01",11,0,0
"2009-01-01",9,0,0
"2009-02-01",11,0,0
"2009-03-01",11,0,0
"2009-04-01",10,0,0
"2009-05-01",9,0,0
"2009-06-01",8,0,0
"2009-07-01",7,0,0
"2009-08-01",9,0,0
"2009-09-01",11,0,0
"2009-10-01",10,0,0
"2009-11-01",10,0,0
"2009-12-01",12,0,0
"2010-01-01",11,0,0
"2010-02-01",10,0,0
"2010-03-01",12,0,0
"2010-04-01",12,0,0
"2010-05-01",13,0,0
"2010-06-01",12,0,0
"2010-07-01",10,0,0
"2010-08-01",13,0,0
"2010-09-01",35,0,0
"2010-10-01",28,0,0
"2010-11-01",27,0,0
"2010-12-01",29,0,0
"2011-01-01",35,0,0
"2011-02-01",29,0,0
"2011-03-01",31,0,0
"2011-04-01",35,0,0
"2011-05-01",35,0,0
"2011-06-01",34,0,0
"2011-07-01",34,0,0
"2011-08-01",35,0,0
"2011-09-01",40,0,0
"2011-10-01",43,0,0
"2011-11-01",44,0,0
"2011-12-01",50,0,0
"2012-01-01",50,0,0
"2012-02-01",40,0,0
"2012-03-01",47,0,0
"2012-04-01",45,0,0
"2012-05-01",46,0,0
"2012-06-01",44,0,0
"2012-07-01",44,0,0
"2012-08-01",42,0,0
"2012-09-01",55,0,0
"2012-10-01",54,0,0
"2012-11-01",52,0,0
"2012-12-01",57,0,0
"2013-01-01",63,0,0
"2013-02-01",46,0,0
"2013-03-01",47,0,0
"2013-04-01",48,0,0
"2013-05-01",47,0,0
"2013-06-01",44,0,0
"2013-07-01",48,0,0
"2013-08-01",45,0,0
"2013-09-01",49,0,0
"2013-10-01",50,0,0
"2013-11-01",57,0,0
"2013-12-01",57,0,0
"2014-01-01",63,0,0
"2014-02-01",48,0,0
"2014-03-01",48,0,0
"2014-04-01",51,0,0
"2014-05-01",49,0,0
"2014-06-01",46,0,0
"2014-07-01",50,0,0
"2014-08-01",46,0,0
"2014-09-01",51,0,0
"2014-10-01",49,0,0
"2014-11-01",57,0,0
"2014-12-01",61,0,0
"2015-01-01",69,0,0
"2015-02-01",45,0,0
"2015-03-01",48,0,0
"2015-04-01",51,0,0
"2015-05-01",51,0,0
"2015-06-01",49,0,0
"2015-07-01",55,0,0
"2015-08-01",45,0,0
"2015-09-01",54,0,0
"2015-10-01",59,0,0
"2015-11-01",76,1,0
"2015-12-01",68,1,0
"2016-01-01",70,1,0
"2016-02-01",47,1,0
"2016-03-01",53,1,0
"2016-04-01",55,1,0
"2016-05-01",58,1,0
"2016-06-01",55,1,0
"2016-07-01",57,1,0
"2016-08-01",46,1,0
"2016-09-01",57,1,0
"2016-10-01",64,2,0
"2016-11-01",81,2,0
"2016-12-01",73,2,0
"2017-01-01",76,2,0
"2017-02-01",51,2,0
"2017-03-01",60,3,0
"2017-04-01",62,2,0
"2017-05-01",65,2,0
"2017-06-01",65,3,0
"2017-07-01",67,3,0
"2017-08-01",56,3,0
"2017-09-01",64,3,0
"2017-10-01",64,4,0
"2017-11-01",100,5,0
"2017-12-01",80,4,0
"2018-01-01",88,4,0
"2018-02-01",57,4,0
"2018-03-01",57,5,0
"2018-04-01",63,6,0
"2018-05-01",63,6,0
"2018-06-01",64,7,0
"2018-07-01",67,7,0
"2018-08-01",54,5,0
"2018-09-01",60,5,0
"2018-10-01",72,6,0
"2018-11-01",91,7,0
"2018-12-01",78,6,0
"2019-01-01",88,5,0
"2019-02-01",56,5,0
"2019-03-01",57,5,0
"2019-04-01",57,6,0
"2019-05-01",65,8,0
"2019-06-01",71,9,0
"2019-07-01",70,8,0
"2019-08-01",54,6,0
"2019-09-01",63,6,0
"2019-10-01",69,7,0
"2019-11-01",96,11,0
"2019-12-01",84,9,0
"2020-01-01",91,7,0
"2020-02-01",58,8,0
"2020-03-01",37,7,0
"2020-04-01",41,11,0
"2020-05-01",72,19,0
"2020-06-01",73,22,0
"2020-07-01",65,17,0
"2020-08-01",51,14,0
"2020-09-01",57,13,0
"2020-10-01",64,12,0
"2020-11-01",78,15,0
"2020-12-01",72,11,0
"2021-01-01",83,13,0
"2021-02-01",60,15,0
"2021-03-01",50,17,0
"2021-04-01",50,19,0
"2021-05-01",53,23,0
"2021-06-01",62,26,0
"2021-07-01",52,21,0
"2021-08-01",45,18,0
"2021-09-01",52,17,0
"2021-10-01",58,19,0
"2021-11-01",74,22,0
"2021-12-01",69,19,0
"2022-01-01",75,20,0
"2022-02-01",51,22,0
"2022-03-01",49,22,0
"2022-04-01",56,26,0
"2022-05-01",60,41,0
"2022-06-01",62,43,0
"2022-07-01",53,33,0
"2022-08-01",48,28,0
"2022-09-01",51,28,0
"2022-10-01",51,28,0
"2022-11-01",70,32,0
"2022-12-01",66,26,0
"2023-01-01",72,25,0
"2023-02-01",46,24,0
"2023-03-01",48,30,0
"2023-04-01",55,38,0
"2023-05-01",51,39,6
"2023-06-01",60,41,5
"2023-07-01",54,40,3
"2023-08-01",45,32,6
"2023-09-01",47,31,7
"2023-10-01",52,33,7
"2023-11-01",69,37,9
"2023-12-01",67,28,8
"2024-01-01",67,26,10
"2024-02-01",43,23,8
"2024-03-01",45,26,10
"2024-04-01",48,29,10
"2024-05-01",51,31,11
"2024-06-01",57,30,10
"2024-07-01",47,27,11
"2024-08-01",43,26,13
"2024-09-01",50,29,13
"2024-10-01",52,29,13
